time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-10-14 19:20:37.217 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,300132102144,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1665775236468, , , , ,3145728,1218, , , ,21,4,77,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,26214400,2, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 19:20:47.404 UTC, ,125,3160893,1080,15040, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,300132102144,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1665775236468, , , , ,3145728,1334, , , ,18,1,18,1,2,1, , ,3,1, , , , , , , , , , , ,4096,2,95,1, , , , , , , , ,26214400,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-16 23:00:54.396 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,298098679808,-1,-1, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665961253707, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , , , ,27262976,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-16 23:01:00.109 UTC, ,125,3160141,1080,14288, , ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,298098679808,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665961253707, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,27262976,2, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-16 23:01:06.572 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,298098380800,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665961265996, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , , , ,27262976,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-16 23:01:20.156 UTC, ,125,3160141,1080,14288, , ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,298098380800,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665961265996, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,28311552,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-18 23:19:54.272 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,299391717376,-1,-1, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1666135193648, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , , , ,26214400,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-18 23:20:54.291 UTC, ,125,3164989,1312,19024,112, ,4, ,5, , , , , , , , , ,4,4, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2480,299399495680,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2480, ,1666135193648, , , , ,3145728,2453, , ,2,20,2,56,2,3,2, , ,3,3, , , ,2,1, , , , , , ,6212,5,337,2, , , , , , , , ,29360128,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2022-10-18 23:21:54.324 UTC, ,125,3165101,1312,19024,224, ,4, ,3, , , , , , , , , ,4,4, , , ,2,1,5, ,3, , , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2480,299396112384,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2480, ,1666135193648, , , , ,3145728,2453, , , ,22, ,22, , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,2, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-10-18 23:22:54.338 UTC, ,125,3165101,1312,19024,224, ,4, , , , , , , , , , , ,4,4, , , ,2,1,5, , , , , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2480,299394793472,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2480, ,1666135193648, , , , ,3145728,2453, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
